"('lone', 'wolf')",3
"('long', 'walk')",3
"('long', 'way')",3
"('look', 'back')",3
"('look', 'whos')",3
"('los', 'angeles')",3
"('love', 'affair')",3
"('mad', 'mad')",3
"('major', 'league')",3
"('man', 'called')",3
"('maze', 'runner')",3
"('michael', 'myers')",3
"('mighty', 'ducks')",3
"('million', 'dollar')",3
"('mona', 'lisa')",3
"('mortal', 'kombat')",3
"('mothers', 'day')",3
"('much', 'ado')",3
"('naked', 'gun')",3
"('national', 'lampoon')",3
"('nd', 'street')",3
"('ned', 'kelly')",3
"('never', 'say')",3
"('night', 'stand')",3
"('nights', 'dream')",3
"('nine', 'lives')",3
"('noam', 'chomsky')",3
"('oh', 'god')",3
"('old', 'men')",3
"('ong', 'bak')",3
"('open', 'water')",3
"('pet', 'sematary')",3
"('ping', 'pong')",3
"('pitch', 'perfect')",3
"('point', 'blank')",3
"('private', 'life')",3
"('prom', 'night')",3
"('puppet', 'master')",3
"('reasonable', 'doubt')",3
"('red', 'riding')",3
"('red', 'white')",3
"('rush', 'hour')",3
"('san', 'francisco')",3
"('school', 'musical')",3
"('sleepaway', 'camp')",3
"('snow', 'white')",3
"('st', 'trinians')",3
"('starship', 'troopers')",3
"('steve', 'jobs')",3
"('stranger', 'calls')",3
"('street', 'fighter')",3
"('strikes', 'back')",3
"('tai', 'chi')",3
"('th', 'day')",3
"('thats', 'entertainment')",3
"('think', 'like')",3
"('three', 'colors')",3
"('three', 'days')",3
"('three', 'faces')",3
"('till', 'dawn')",3
"('tinker', 'bell')",3
"('tomb', 'raider')",3
"('toxic', 'avenger')",3
"('trois', 'couleurs')",3
"('two', 'weeks')",3
"('une', 'femme')",3
"('universal', 'soldier')",3
"('valentines', 'day')",3
"('van', 'wilder')",3
"('war', 'bride')",3
"('way', 'back')",3
"('welcome', 'home')",3
"('white', 'fang')",3
"('whos', 'talking')",3
"('witch', 'mountain')",3
"('yes', 'men')",3
"('youre', 'dead')",3
"('abraham', 'lincoln')",2
"('abu', 'ghraib')",2
"('ace', 'ventura')",2
"('agent', 'cody')",2
"('ai', 'weiwei')",2
"('air', 'bud')",2
"('air', 'force')",2
"('always', 'rings')",2
"('amazing', 'spiderman')",2
"('american', 'girl')",2
"('american', 'graffiti')",2
"('american', 'gun')",2
"('american', 'hero')",2
"('american', 'psycho')",2
"('american', 'son')",2
"('american', 'tail')",2
"('angry', 'birds')",2
"('animal', 'farm')",2
"('anne', 'frank')",2
"('another', 'country')",2
"('another', 'day')",2
"('another', 'gay')",2
"('another', 'happy')",2
"('art', 'loosed')",2
"('ataque', 'de')",2
"('aus', 'dem')",2
"('aux', 'folles')",2
"('baader', 'meinhof')",2
"('baby', 'geniuses')",2
"('bad', 'blood')",2
"('bad', 'boy')",2
"('bad', 'education')",2
"('bad', 'lieutenant')",2
"('bad', 'moms')",2
"('bad', 'santa')",2
"('bad', 'seed')",2
"('ball', 'z')",2
"('bangkok', 'dangerous')",2
"('basic', 'instinct')",2
"('batman', 'gotham')",2
